                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     85,                 0.6443,                 0.3266,                0.87521,                0.81457,                0.36223,                0.88335,                0.80316,                0.75342,                0.80072,                0.61585,                0.92674,                0.75882,                 1.0844,                0.97376,                0.85061,                 1.0944,             0.00022288,             0.00022288,             0.00022288
                     86,                 0.6451,                0.32657,                0.87417,                0.81844,                0.36134,                0.88345,                 0.7678,                0.79894,                0.81333,                0.62406,                0.92251,                0.75631,                 1.0813,                0.97075,                0.85837,                 1.0924,              0.0002105,              0.0002105,              0.0002105
                     87,                0.64101,                0.32586,                0.87417,                0.81456,                0.35997,                0.88305,                0.79174,                0.77373,                0.80652,                0.61793,                0.93265,                0.77285,                 1.0905,                0.97907,                0.86593,                 1.0992,             0.00019813,             0.00019813,             0.00019813
                     88,                0.63495,                0.32098,                0.87466,                0.80468,                0.35315,                0.88376,                0.78869,                0.78872,                0.81374,                0.62324,                0.93447,                0.74814,                 1.0921,                0.98032,                0.83919,                 1.1016,             0.00018575,             0.00018575,             0.00018575
                     89,                 0.6326,                0.31798,                0.87255,                0.80375,                 0.3487,                0.88115,                0.76863,                0.80057,                0.81067,                  0.625,                0.93187,                0.75168,                 1.0898,                0.97899,                0.85516,                 1.0994,             0.00017338,             0.00017338,             0.00017338
                     90,                0.63275,                0.31667,                0.87229,                0.80562,                0.34898,                0.88046,                0.76333,                0.80633,                0.81829,                0.62538,                0.93519,                0.74926,                 1.0942,                0.98068,                0.84627,                 1.1029,               0.000161,               0.000161,               0.000161
                     91,                0.63459,                0.30322,                0.86992,                0.78294,                0.32381,                0.87666,                 0.7648,                0.79548,                0.80511,                0.61349,                0.93996,                 0.7844,                 1.0906,                0.98658,                0.89843,                 1.1018,             0.00014862,             0.00014862,             0.00014862
                     92,                0.62602,                0.29894,                0.86688,                 0.7727,                0.31928,                 0.8725,                0.77488,                0.79327,                0.80209,                0.61301,                0.94539,                 0.7718,                 1.0954,                0.99199,                0.88348,                 1.1068,             0.00013625,             0.00013625,             0.00013625
                     93,                0.62356,                0.29606,                0.86514,                0.77043,                0.31656,                0.87189,                0.77673,                0.81125,                0.80863,                0.61971,                0.93461,                0.75601,                 1.0931,                0.98229,                0.86242,                 1.1035,             0.00012387,             0.00012387,             0.00012387
                     94,                0.62046,                0.29441,                0.86448,                0.76549,                0.31513,                0.87113,                0.78232,                0.78941,                0.80447,                0.61564,                0.94004,                0.78358,                 1.0855,                0.98757,                0.89874,                 1.0962,              0.0001115,              0.0001115,              0.0001115
                     95,                0.62002,                0.29136,                0.86109,                0.76706,                0.31229,                0.86738,                0.78058,                0.79352,                0.80547,                 0.6178,                0.94734,                0.78441,                 1.0886,                0.99355,                0.89634,                 1.0976,             9.9125e-05,             9.9125e-05,             9.9125e-05
                     96,                0.61355,                0.28945,                0.85873,                0.76069,                 0.3081,                0.86549,                0.79377,                0.79601,                 0.8078,                0.62011,                0.94518,                0.79212,                 1.0908,                0.99254,                0.90067,                 1.0997,              8.675e-05,              8.675e-05,              8.675e-05
                     97,                0.61289,                0.28847,                0.85905,                0.76136,                0.31045,                0.86597,                0.78443,                0.78647,                0.80114,                0.61446,                0.94056,                0.80631,                 1.0923,                0.98729,                0.91285,                 1.1018,             7.4375e-05,             7.4375e-05,             7.4375e-05
                     98,                0.60658,                0.28515,                0.85757,                0.75894,                 0.3072,                 0.8636,                 0.7842,                0.78932,                0.80409,                0.61377,                0.94285,                0.80487,                  1.094,                0.99066,                0.91322,                 1.1035,                6.2e-05,                6.2e-05,                6.2e-05
                     99,                 0.6044,                 0.2812,                0.85853,                0.75161,                0.29916,                0.86498,                0.78952,                0.78395,                0.81029,                0.61927,                0.94049,                0.80575,                 1.0926,                0.98931,                 0.9132,                 1.1027,             4.9625e-05,             4.9625e-05,             4.9625e-05
                    100,                0.60375,                0.28037,                0.85762,                0.75136,                0.29946,                0.86421,                0.80402,                 0.7845,                0.81378,                0.62175,                0.93965,                0.80692,                 1.0921,                0.98854,                0.91865,                 1.1024,              3.725e-05,              3.725e-05,              3.725e-05
